area,level,year,household,parking,fuel,SNU,sratio,med,popden,edu,lnsubnet,lngreen,lnwater,spring,fall,winter,score,sentiment,lnprice,longitude,latitude
70.3303,15,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,0,1,0,5,2.886394558,10.1064284,127.344325,36.354578
70.3303,18,2013,180,1.23,0,28,106.9881159,36,2395.487106,34.0808894,6.331706032,4.645089321,6.091426315,0,0,1,5,2.886394558,10.0647557,127.344325,36.354578
84.65,12,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.573530306,0,0,1,5,2.795918367,10.1266311,127.317071,36.372531
111.18,4,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,1,0,0,5,2.795918367,10.0604913,127.317071,36.372531
84.65,10,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,1,0,0,5,2.795918367,10.1266311,127.317071,36.372531
111.18,9,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,1,0,0,5,2.795918367,10.30895266,127.317071,36.372531
84.65,15,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,1,0,0,5,2.795918367,10.0647557,127.317071,36.372531
111.18,10,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,1,0,0,5,2.795918367,10.27505111,127.317071,36.372531
84.65,13,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,0,5,2.795918367,10.16585182,127.317071,36.372531
84.65,13,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,0,5,2.795918367,9.952277717,127.317071,36.372531
83.89,12,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,0,0,5,2.795918367,10.02127059,127.317071,36.372531
84.65,5,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,1,0,5,2.795918367,10.1064284,127.317071,36.372531
111.18,7,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,1,0,5,2.795918367,10.20359214,127.317071,36.372531
111.18,12,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,1,0,5,2.795918367,10.35774282,127.317071,36.372531
84.65,9,2006,182,1.2,0,12,97.4040932,37,1954.473684,40.28588575,5.518294361,4.430959898,6.835042355,0,1,0,5,2.795918367,10.20359214,127.317071,36.372531
